thisN,thisTrialN,thisRepN,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,Init.started,text.started,key_resp.started,Init.stopped,key_resp.keys,key_resp.rt,key_resp.duration,prep.started,text_2.started,text_2.stopped,prep.stopped,run.started,run.stopped,Eyes.started,prog.started,polygon.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009120400005485862,0.01677789998939261,0.01677789998939261,1.5824549999961164,space,1.5556647999910638,None,,,,,,,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0045433999912348,,,,,,,,,1.5836553999979515,1.592034600005718,3.0045433999912348,2.9866692000068724,2.9915169999876525,2.99155370000517,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3.0045433999912348,,,,,,,,,,,,,2.9930255000072066,2.993060599983437,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,3.0045433999912348,,,,,,,,,,,,,2.994180499983486,2.994215799990343,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3.0045433999912348,,,,,,,,,,,,,2.9950154999969527,2.9950451999902725,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,3.0045433999912348,,,,,,,,,,,,,2.9961255000089295,3.0046718000085093,3.0045433999912348,3.0045433999912348,3.0045433999912348,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,3.0206485000089742,,,,,,,,,,,,,3.006065599998692,3.0060962999996264,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
6,0,6,0,0,0,0,0,0,0,0,6,0,6,0,3.0206485000089742,,,,,,,,,,,,,3.0073968000069726,3.007435500010615,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
7,0,7,0,0,0,0,0,0,0,0,7,0,7,0,3.0206485000089742,,,,,,,,,,,,,3.00824090000242,3.0082704999949783,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
8,0,8,0,0,0,0,0,0,0,0,8,0,8,0,3.0206485000089742,,,,,,,,,,,,,3.008932400000049,3.008956700010458,,,,557080,001,2025-10-23_17h01.00.187,run,2024.2.4,None,2025-10-23 17h01.06.624979 +0800,
